Key_concept,Related_concept,Term,Article_url,Sentence,Author,Label,Annotation,,,Annotation,Annotation
islam,islam,islam,https://en.wikipedia.org/wiki?curid=5756086,"according to the chronicler ziauddin barani , alauddin s once thought of establishing a new religion just like muhammad had established islam .",Muhammad,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=16100977,"hassan s has argued that honor killings are a distortion of islam , and further , that the whole idea that women are inferior is a result of the mistaken belief among muslims that hassan s was created from adam 's rib , when , in the islamic creation story , they were created at the same time .",Adam,P,,,,,
adventism,adventism,adventist,https://en.wikipedia.org/wiki?curid=8035619,"thompson 's speaking engagements and writings cover many topics , including the bible , especially the old testament , ellen g. white s  studies , inspiration ( see biblical inspiration , revelation ) , and adventist history .",Ellen G. White,P,,,,,
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=25159168,"to the contrary , steiner s deeply admired figures like yigael yadin , as exemplifying the strong , activist zionist values the historical situation of the jews  demanded .",Yigael Yadin,P,,,,,
anarchism,anarchism,anarchism,https://en.wikipedia.org/wiki?curid=1063286,"frenchman pierre-joseph proudhon is regarded as the founder of modern anarchism , a label frenchman pierre-joseph proudhon adopted in frenchman pierre-joseph proudhon groundbreaking work qu'est - ce que la propriété ?",Pierre-Joseph Proudhon,P,,,,,
scientology,scientology,scientology,https://en.wikipedia.org/wiki?curid=7775273,"l. ron hubbard , the founder of scientology classic travel-books include heart of asia : memoirs from the himalayas ( 1929 ) and shambhala : in search of the new era ( 1930 ) .",L. Ron Hubbard,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=3337601,"according to islamic tradition , in 628 , muhammad sent a muslim envoy named al-ala ' a al-hadrami to munzir ibn sawa , a ruler in eastern arabia , requesting that muhammad and muhammad people accept islam .",Muhammad,P,,,,,
apartheid,apartheid,apartheid,https://en.wikipedia.org/wiki?curid=58149168,"notes by president botha s  foreign minister written on president botha s 1984 trip to the uk claim that former conservative pm margaret thatcher told president botha s that apartheid had to be dismantled , nelson mandela and other prisoners released as well as stopping the forcible removal of urban blacks .",Nelson Mandela,C,,,,,
buddhism,buddhism,buddhists,https://en.wikipedia.org/wiki?curid=24649736,"it is with vimalamitra ( fl. 8th century ) that this collection of ' seventeen tantras , which are but a portion of garab 's revelation may have first been given their specific enumeration and nomenclature as it was vimalamitra , an indian great perfection master invited to tibet  disciple , nyangban tingzin zangpo , who concealed the seventeen tantra subsequent to vimalamitra , an indian great perfection master invited to tibet  journey to china , particularly mount wutai , for later discovery by neten dangma lhungyal in the eleventh century that they enter history in they current evocation , as gyatso ( 1998 : pp. 153 – 154 ) relates thus : by the eleventh century , both bonpos and buddhists were presenting texts both bonpos and buddhists claimed to have unearthed from the place where those texts had been hidden in the past .",Vimalamitra,P,,,,,
european union,european union,european union,https://en.wikipedia.org/wiki?curid=36811941,"catherine ashton , the high representative of european union called for an immediate end to trials of civilians in the court of national safety and the immediate release of all peaceful demonstrators arrested in connection with the february protest movement .",Catherine Ashton,P,,,,,
google,google,google,https://en.wikipedia.org/wiki?curid=37486268,"in june 2018 , former google chief business officer and softbank president nikesh arora joined the company as chairman and ceo .",Nikesh Arora,P,,,,,
nationalism,nationalism,emperors,https://en.wikipedia.org/wiki?curid=229365,"hanazono s   , the retired-emperor fushimi , and hanazono s  brother , the retired-emperor go-fushimi , both exerted influence as cloistered emperors during this reign .",Emperor Go-Fushimi,P,,,,,
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=29739055,"on may 3 , 1943 , with the last transport of jews from croatia , the nazis transported freiberger and amiel shomrony , freiberger s former secretary wife from zagreb main station to auschwitz .",Amiel Shomrony,P,,,,,
fascism,fascism,fascism,https://en.wikipedia.org/wiki?curid=56799844,"though a fanatical fascist , guido jung drew a sharp distinction between fascism and nazism , once comparing the nazi party to a baby and later reportedly calling adolf hitler a blockhead .",Adolf Hitler,P,,,,,
lgbt,lgbt,transgender,https://en.wikipedia.org/wiki?curid=50070302,"janet mock also interviews the cast , which features ten prominent transgender figures besides amos mac : laverne cox , miss major griffin-gracy , buck angel , kylar broadus , caroline cossey , shane ortega , alok vaid-menon , nicole maines , bamby salcedo and caitlyn jenner .",Caitlyn Jenner,P,,,,,
buddhism,buddhism,buddhism,https://en.wikipedia.org/wiki?curid=44232651,"in yoga psychology , it refers to the function of the mind in its intelligent ( sāttvika ) aspect by which the sensations ( due to the sense-object contact ālochana ) are associated , differentiated , integrated , and assimilated into precepts and concepts ; it refers to the creative faculty of the mind , and also accepted by dignāga and dharmakirti of the yogacara and the sautrāntika schools of buddhism respectively .",Dharmakirti,P,,,,,
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=3078844,"for luther refused every intercession , salvation depended on the belief jesus was son of god , a belief that adherents of judaism do not share .",Jesus,P,,,,,
lgbt,lgbt,transgender,https://en.wikipedia.org/wiki?curid=38481367,"cece mcdonald also received support from transgender activist and actress laverne cox , star of orange is the new black , which includes story lines about trans women of color and hate crimes .",Laverne Cox,P,,,,,
socialism,marxism,marxist,https://en.wikipedia.org/wiki?curid=38452127,"structural marxism was an approach to marxist philosophy based on structuralism , primarily associated with the work of the french philosopher louis althusser and the french philosopher louis althusser students .",Louis Althusser,P,,,,,
socialism,marxism,marxism,https://en.wikipedia.org/wiki?curid=37284871,"in karl marx publications , kazimierz łaski gradually detached karl marx from dogmatic marxism and attained a certain critical distance .",Karl Marx,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=577594,"sylhet is also considered to be the spiritual capital of bangladesh , due to the resting place of shahjalal , a sufi saint who spread islam in bangladesh , which is located in the shahjalal mazar , along with another well-known disciple of shahjalal , shah poran mazar and shahi eidgah , a famous place where eid prayers take place and it is some of the largest eidgahs in bangladesh , created by mughals during the reign of aurangzeb .",Aurangzeb,P,,,,,
lgbt,lgbt,lesbian,https://en.wikipedia.org/wiki?curid=36872435,"tatiana de la tierra was a lesbian latina writer who was shameless about tatiana de la tierra sexuality , and a lot of tatiana de la tierra work provided support and encouragement for other latina lesbians to be shameless and proud like tatiana de la tierra .",Tatiana de la tierra,P,,,,,
maoism,maoism,maoism,https://en.wikipedia.org/wiki?curid=55909999,"despite the canonization of maoism in the people 's republic of china , mao zedong  theory of national struggle was not a monolithic construct that was unaffected by the vicissitudes of time .",Mao Zedong,P,,,,,
facebook,facebook,facebook,https://en.wikipedia.org/wiki?curid=41579335,"during losse last year at facebook , losse ended up working as mark zuckerberg ’s personal ghost writer .",Mark Zuckerberg,P,,,,,
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=33631229,"joseph roth is warm to joseph roth subjects , with the exception of the middle-class , assimilated , denying jews in the west .",Joseph Roth,P,,,,,
anarchism,anarchism,anarchism,https://en.wikipedia.org/wiki?curid=2052697,early feminist voltairine de cleyre  sought conciliation between the various schools and said in early feminist voltairine de cleyre essay anarchism : there is nothing un-anarchistic about any of these systems until the element of compulsion enters and obliges unwilling persons to remain in a community whose economic arrangements unwilling persons do not agree to .,Voltairine de Cleyre,P,,,,,
mining,mining,miners,https://en.wikipedia.org/wiki?curid=5677606,"in the semiotic square for the copper collar ( see illustration ) , marcus daly is considered the assertion and miners is the negation in the first binary pair .",Marcus Daly,P,,,,,
socialism,communism,communism,https://en.wikipedia.org/wiki?curid=400080,"the reaction of the soviet foreign minister vyacheslav molotov followed soon after , as the soviet foreign minister vyacheslav molotov presented sheng s brother sheng shiqi    ideas about the implementation of communism in xinjiang , the soviet foreign minister vyacheslav molotov support for chiang kai-shek  arrest in xi'an incident and the offer to make xinjiang a soviet republic .",Vyacheslav Molotov,P,,,,,
nationalism,nationalism,zionists,https://en.wikipedia.org/wiki?curid=31291055,"some zionists , whose movement had grown tremendously in popularity among german jews since january 1933 adolf hitler came to power , co-operated .",Adolf Hitler,P,,,,,
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=5601321,"for instance , austrian-born israeli philosopher martin buber said in 1911 : blood is the deepest power stratum of the soul ( three addresses on judaism ) .",Martin Buber,P,,,,,
lgbt,lgbt,transgender,https://en.wikipedia.org/wiki?curid=7220469,"at an annual banquet held at fantasia fair , rle presents virginia prince transgender pioneer awards to one or more individuals who have worked selflessly on behalf of the transgender and gender nonconforming community .",Virginia Prince,P,,,,,
lgbt,lgbt,lgbt,https://en.wikipedia.org/wiki?curid=25883709,"in october 2012 , stuart milk , through stuart milk role as leader of the harvey milk foundation , and rosaria iardino hosted a global summit on human rights inclusive of the lgbt community that brought ngo and governmental leaders from five continents to milan , italy .",Harvey Milk,P,,,,,
buddhism,buddhism,buddhism,https://en.wikipedia.org/wiki?curid=9850290,"besides jamyang , geshe tashi tsering of chenrezig institute , australia is a regular guest teacher at other buddhist centres in the uk and around the world as well as creator and teacher of the foundation of buddhist thought , the two-year fpmt correspondence and campus course on the basics of tibetan buddhism .",Geshe,P,,,,,
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=15904586,"however , writing for the lgbt-interest advocate magazine , gay film researcher david ehrenstein praised the film for speaking volumes about those whom the gay rights revolution never touched and about the lives of older gays and lesbians in general .",David Ehrenstein,P,,,,,
slavery,slavery,slavery,https://en.wikipedia.org/wiki?curid=1208861,"together with olaudah equiano and other educated africans living in britain , stuart became active in the sons of africa , an abolitionist group whose members wrote frequently to the newspapers of the day , condemning the practice of slavery .",Olaudah Equiano,C,,,,,
socialism,communism,communism,https://en.wikipedia.org/wiki?curid=522287,"although the actual number of communist party militants remained small , communist party militants impact was far disproportionate to communist party militants numbers , in large part because of the anticommunist reaction of the government , especially the policies of prime minister r. b. bennett who vowed to crush communism in canada with an iron heel of ruthlessness .",R. B. Bennett,C,,,,,
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=46200358,"a celebrated publication of the early 1980s was alfonsina , a periodical founded by journalist maría moreno that featured articles by people involved in feminist and gay activistm , including martín caparrós , such as maría elena oddone , hilda rais , moira soto  , alicia d'amico , sara facio , néstor perlongher , márgara averbach , ana amado and alicia genovese .",Sara Facio,P,,,,,
socialism,marxism,marxist,https://en.wikipedia.org/wiki?curid=302256,"that the religion of capitalism is manifest in four tenets : in portrait of a marxist as a young nun , professor helena sheehan said that the analogy between commodity fetishism and religion is mistaken , because people do not worship money and commodities in the spiritual sense , by attributing to people supernatural powers .",Helena Sheehan,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=13861440,"qais s met muhammad and embraced islam , receiving the muslim name of abdur rashid .",Muhammad,P,,,,,
socialism,socialism,socialism,https://en.wikipedia.org/wiki?curid=38794736,"anarcho-syndicalists and following on from tony cliff , many troskyists , deny that anarcho-syndicalists and following on from tony cliff , many troskyists even is socialism , calling anarcho-syndicalists and following on from tony cliff , many troskyists instead state capitalism .",Tony Cliff,P,,,,,
buddhism,buddhism,theravada,https://en.wikipedia.org/wiki?curid=8941932,"b. r. ambedkar held a press conference on october 13 , 1956 , announcing b. r. ambedkar rejection of theravada and mahayana vehicles , as well as of hinduism .",B. R. Ambedkar,P,,,,,
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=1601956,"in a press conference on december 22 , 2010 , u.s. representative barney frank said that the gay agenda is sportscaster l. z. grandersen argues in sportscaster l. z. grandersen ted talk that the gay agenda is simply the 14th amendment .",Barney Frank,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=24290834,"its name is usually thought to allude to the islamic prophet muhammad 's daughter fatimah , a revered figure in islam who was given the title az-zahrāʾ ( the shining or resplendent one ) .",Fatimah,P,,,,,
socialism,communism,fascists,https://en.wikipedia.org/wiki?curid=40438174,jews and leftists fought oswald mosley 's british fascists at the battle of cable street .,Oswald Mosley,C,,,,,
pacifism,pacifism,pacificism,https://en.wikipedia.org/wiki?curid=49170197,"bayard rustin with the civil rights movement had helped to spread pacificism and non-violence to leaders of the civil rights movement , like martin luther king jr. .",Bayard Rustin,P,,,,,
facebook,facebook,facebook,https://en.wikipedia.org/wiki?curid=24319139,"at the end , marylin delpy , a junior lawyer for the defense , informs 19-year-old harvard university student mark zuckerberg       , since the sordid details of facebook 's founding and 19-year-old harvard university student mark zuckerberg  own callous attitude will make eduardo saverin highly unsympathetic to a jury .",Eduardo Saverin,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=58409166,muhammad s preached to the christians and requested the christians accept islam .,Muhammad,P,,,,,
feminism,feminism,feminists,https://en.wikipedia.org/wiki?curid=28958357,"writer cathy young criticised what writer cathy young saw as dines ' double-standards , stating the same feminists who rightly tell we that a rape victim should not have to be an angel to deserve support apply such a different standard to men who may be falsely accused of rape .",Cathy Young,P,,,,,
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=84275,"editor judy wieder supported president bill clinton s  1992 presidential campaign and since coming out , has been a gay rights activist .",Bill Clinton,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=38556279,"in the event , the center s controversial leader hani ramadan reported no actionable intelligence from the center , but converted to islam during the center s controversial leader hani ramadan stay .",Hani Ramadan,P,,,,,
fascism,fascism,fascism,https://en.wikipedia.org/wiki?curid=19627282,"kingdom of italy witnessed significant widespread civil unrest and political strife in the aftermath of world war i and the rise of the fascist movement led by benito mussolini which opposed the rise of the international left , especially the far-left along with others who opposed fascism .",Benito Mussolini,P,,,,,
socialism,socialism,socialism,https://en.wikipedia.org/wiki?curid=506956,"they feared that salvador allende would push chile into socialism , and therefore lose all of the us investments made in chile .",Salvador Allende,P,,,,,
immigration,immigration,immigration,https://en.wikipedia.org/wiki?curid=22373128,"some , such as new york congressman josé serrano and sportswriter mike lupica , had suggested that major league baseball commissioner bud selig should move the game because of the controversial sb1070 anti-illegal immigration bill passed by the arizona legislature and signed into law by governor jan brewer .",Jan Brewer,C,,,,,
buddhism,buddhism,buddhism,https://en.wikipedia.org/wiki?curid=2695679,"the tibetan buddhist tradition states that for this reason guru rinpoche , also known as padmasambhava , the founder of tibetan buddhism meditated at muktinath on guru rinpoche , also known as padmasambhava , the founder of tibetan buddhism way to tibet .",Padmasambhava,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=4701870,"biographers especially mention muhammad forgiving the meccan people after the conquest of mecca who at the early period of islam tortured the muslims for a long time , and later fought several battles with the muslims .",Muhammad,P,,,,,
buddhism,buddhism,buddhism,https://en.wikipedia.org/wiki?curid=1200064,"the 14th dalai lama about tārā , then , embodies certain ideals which make the 14th dalai lama about tārā attractive to women practitioners , and the 14th dalai lama about tārā emergence as a bodhisattva can be seen as a part of mahayana buddhism 's reaching out to women , and becoming more inclusive even in 6th-century ce india .",14th Dalai Lama,P,,,,,
socialism,marxism,marxists,https://en.wikipedia.org/wiki?curid=3386659,"like nachalo , zhizn s was supportive of eduard bernstein 's revision of marxism and zhizn s editors were on the verge of moving from marxism to liberalism , but the magazine continued to publish articles by revolutionary marxists like vladimir lenin .",Vladimir Lenin,P,,,,,
lgbt,lgbt,queer,https://en.wikipedia.org/wiki?curid=41534351,"it was during this time that phillip atiba goff started youth advocacy work and joined forces in early 2000 with juba kalamka , and phillip atiba goff to form the black and queer hip-hop group deep dickollective ( ddc ) .",Juba Kalamka,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=21725785,"after his father 's death in 1975 , warith deen muhammad transformed the muhammad university of islam into the clara muhammad schools ( or simply mohammed schools ) replacing the university of islam founded by his father s  .",Clara Muhammad,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=39823430,"louis farrakhan who broke away from the organization , re-established the nation of islam under the original fardian doctrines , and remains its leader .",Louis Farrakhan,P,,,,,
european union,european union,european union,https://en.wikipedia.org/wiki?curid=41176535,"previous talks between iran and the p5 +1 , chaired by european union high representative catherine ashton , were held in the kazakh city of almaty on 26 – 27 february and 5 – 6 april 2013 , in the turkish city of istanbul on 17 – 18 march , and in geneva on 7 – 8 november — all without agreement .",Catherine Ashton,P,,,,,
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=31159697,"among minor close friends was ilya fondaminsky ( ' bunakov ' ) , a veteran sr who later converted from judaism to orthodox christianity and was murdered in the auschwitz concentration camp in 1942 .",Ilya Fondaminsky,P,,,,,
lgbt,lgbt,lgbt,https://en.wikipedia.org/wiki?curid=30655925,"the 2012 recipient , jamaican lgbt rights activist maurice tomlinson , was announced on 14 december 2011 and was awarded on 29 january 2012 in london .",Maurice Tomlinson,P,,,,,
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=1742594,"activists such as alex au , a member of people like us , the first gay equality organisation in singapore , saw the potential of the internet as a vehicle to unite the gay community and foment intellectual discussion .",Alex Au,P,,,,,
socialism,communism,fascists,https://en.wikipedia.org/wiki?curid=27372540,"there were however some fascists , roberto farinacci and giovanni preziosi being prime examples , who held fringe extremist racist views before the alliance with nazi germany .",Giovanni Preziosi,C,,,,,
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=19577,"on the other side , in rastafarianism it is considered that jesus was moved to moses grave to take up jesus staff and exhort jesus compatriots to keep the ten commandments of orthodox judaism .",Jesus,P,,,,,
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=5142812,"the baal shem tov , founder of hasidic judaism mystical explanations , parables and stories to the unlearned encouraged their emotional deveikus ( fervour ) , especially through attachment to the hasidic figure of the tzaddik , while the baal shem tov , founder of hasidic judaism close circle understood the deep spiritual philosophy of the new ideas .",Baal Shem Tov,P,,,,,
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=41039874,"in 1957 salo wittmayer baron , called by polak s biographer an architect of jewish history , devoted a large part of a chapter in polak s social and religious history of the jews to the khazarian jewish state , and the impact polak s believed that community exercised on the formation of east european jewries in polak s social and religious history of the jews ( 1957 ) .",Salo Wittmayer Baron,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=922522,"abraham , also known as ibrahim , is the main patriarch that connects the three abrahamic religions ( judaism , christianity , islam ) through the wives of abraham  .",Abraham,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=2193894,"this view of al-shafi ' i is mitigated by the fact that an opposite view , in agreement with the majority , is also attributed to al-shafi ' i. javed ahmad ghamidi believes that after the al-azhar scholar muhammad abu zahra and the al-azhar scholar muhammad abu zahra companions , there is no concept in islam obliging muslims to wage war for propagation or implementation of islam .",Muhammad Abu Zahra,P,,,,,
lgbt,lgbt,lgbt,https://en.wikipedia.org/wiki?curid=34971469,"the film explores the struggles of the lgbt community in uganda , focusing in part on the 2011 murder of lgbt activist david kato .",David Kato,P,,,,,
socialism,marxism,marxist,https://en.wikipedia.org/wiki?curid=27667,"in this book , henri lefebvre s applies marxist ideas about the production of commodities and accumulation of capital to discuss space as a social product .",Henri Lefebvre,P,,,,,
facebook,facebook,facebook,https://en.wikipedia.org/wiki?curid=33396204,"a total of 500 speakers appeared , including sir martin sorrell ( chief executive officer wpp ) , thomas ebeling ( chief executive officer prosiebensat .1 media ) and nicola mendelsohn ( vice president emea facebook ) .",Nicola Mendelsohn,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=13510722,islam was thus called the ' seal of the religions ' ( arabic : khatam-ud-din ) just as muhammad was called seal of the prophets  .,Muhammad,P,,,,,
evolution,evolution,evolution,https://en.wikipedia.org/wiki?curid=32751715,"in 1974 the biologist richard d. alexander published an article the evolution of social behavior which drew upon w.d.hamilton 's work on inclusive fitness and kin selection and noted that : amongst other suggestions , the biologist richard d. alexander suggested that certain patterns of social cooperation documented by ethnographers , in particular the avunculate ( ' mother 's brother ' ) relationship , could be explained in reference to individuals pursuing a strategy of individual inclusive fitness maximization under conditions of low certainty-of-paternity .",Richard D. Alexander,P,,,,,
feminism,feminism,feminism,https://en.wikipedia.org/wiki?curid=60772709,she revealed she to be a resolute critic of what she called gender mainstreaming and of 1970s-style radical feminism of the kind advocated by der sündenfall der alice schwarzer  in she book der kleine unterschied und seine großen folgen ( the small difference and its big consequences ) .,Alice Schwarzer,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=36483225,"on the death of muhammad , the prophet of islam , in an assembly known as saqifah a group of muhajirun forced on the ansar their wish for the acceptance of abu bakr as the successor to the prophet , muhammad who was to be washed and buried .",Abu Bakr,P,,,,,
anarchism,anarchism,anarchist,https://en.wikipedia.org/wiki?curid=14936,"i am happy to be called a stirnerite anarchist , provided ' stirnerite ' means one who agrees with max stirner s  general drift , not one who agrees with max stirner s  every word .",Max Stirner,P,,,,,
lgbt,lgbt,gay,https://en.wikipedia.org/wiki?curid=22310,"for example , in 1957 american pianist liberace , successfully sued the daily mirror for merely insinuating that he was gay .",Liberace,P,,,,,
buddhism,buddhism,buddhism,https://en.wikipedia.org/wiki?curid=25535780,"in the ninth century padmasambhava , the indian buddhist guru credited with the founding of buddhism in tibet , lived and did penance in the caves in the precincts of the monastery .",Padmasambhava,P,,,,,
pornography,pornography,pornographic,https://en.wikipedia.org/wiki?curid=22740067,"afterwards , 2015 , stoya dated pornographic actor james deen for several years .",James Deen,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=3465876,"in 2006 , two newspapers in new zealand decided to republish controversial danish cartoons depicting muhammad , the prophet of islam .",Muhammad,P,,,,,
buddhism,buddhism,monks,https://en.wikipedia.org/wiki?curid=4291823,"in the mid 18th century the higher ordination of buddhist monks known as upasampada , which was defunct at the time , was revived with the help of siamese buddhist monks on the initiatives taken by weliwita sri saranankara thero during the reign of king kirti sri rajasinha of kandy .",Weliwita Sri Saranankara Thero,P,,,,,
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=22844507,paul the apostle has been placed within second temple judaism by recent scholarship since the 1970s .,Paul the Apostle,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=7916539,"genghis khan s grandson berke   grandson berke converted to islam due to the efforts of saif ud-din dervish , a dervish from khorazm , thus genghis khan s grandson berke became one of the first mongol rulers to convert .",Berke,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=5131205,small kindness is the name of a charity organization founded by this yusuf islam  ( formerly known as cat stevens ) .,Cat Stevens,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=55858558,"from the inclusion of this in these verses , shabazz thanks louis farrakhan for his work name — and the song these verses , shabazz thanks louis farrakhan for his work created explaining this entitled “ the lost tribe of these verses , shabazz thanks louis farrakhan for his work ” , it is evident that these verses , shabazz thanks louis farrakhan for his work  was significantly influenced by islam , specifically the teachings of the nation of islam and the five percent nation .",Louis Farrakhan,P,,,,,
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=7138005,"having founded the vienna newspaper die welt and the first zionist congress in basel in 1897 , herzl sent herzl executive secretary jacob de haas to boston several years later to start a newspaper which would inculcate judaism into the community and progress the cause of the re-establishment of the jewish faith and a jewish state .",Jacob de Haas,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=173722,"strikingly , the fictitious sayings and supposed teachings of jesus emerging from the hadith are given preeminence in hadith-collections , in shia islam , and in sufi representations of jesus emerging from the hadith .",Jesus,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=42970097,sayyid muhammad al-makki   became a well known saint whose preaching brought many people towards islam .,Muhammad,P,,,,,
anarchism,anarchism,anarchists,https://en.wikipedia.org/wiki?curid=11893205,"the last years of australian involvement in the vietnam war was an active period for australian anarchists , the high-profile draft resister michael matteson in particular became something of a folk hero .",Michael Matteson,P,,,,,
socialism,marxism,marxism,https://en.wikipedia.org/wiki?curid=1364162,"as the founder of the soviet state , vladimir lenin , put it : religion is the opium of the people : this saying of marx is the cornerstone of the entire ideology of marxism about religion .",Vladimir Lenin,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=2512470,"his successor jahangir ordered guru arjun dev , who had been arrested for supporting the rebellious khusrau mirza , to change the passage about islam in the adi granth .",Jahangir,P,,,,,
socialism,marxism,marxist,https://en.wikipedia.org/wiki?curid=3013031,early marxist beliefs that religion would disappear with the coming of a tractor ( leon trotsky had made this claim ) were ridiculed by the league .,Leon Trotsky,P,,,,,
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=2104930,"his father barnett abrahams taught secular subjects as well as homiletics at jews ' college , and was appointed senior tutor of that institution in 1900 .",Barnett Abrahams,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=14353258,"the company was founded after islam leader elijah muhammad  vs. floyd patterson fight , and the company mainly handled islam leader elijah muhammad  boxing promotions and pay-per-view closed-circuit television broadcasts in the late 1960s .",Elijah Muhammad,P,,,,,
judaism,judaism,jews,https://en.wikipedia.org/wiki?curid=660281,"when , in 1919 , semei kakungulu insisted on circumcision as prescribed in the old testament , the bamalaki  refused and told semei kakungulu that , if semei kakungulu practised circumcision , semei kakungulu would be like the jews .",Semei Kakungulu,P,,,,,
google,google,google,https://en.wikipedia.org/wiki?curid=33026935,"sergey brin , co-founder of google , and his wife anne wojcicki agreed to match all donations of the michael j. fox foundation , up to us$ 5 million through the end of 2011 .",Sergey Brin,P,,,,,
zionism,zionism,zionism,https://en.wikipedia.org/wiki?curid=2666510,"another jew , felix salten , succeeded theodor herzl , the father of zionism as the editor of the feuilleton .",Theodor Herzl,P,,,,,
socialism,communism,fascists,https://en.wikipedia.org/wiki?curid=202123,"allied forces then felt the danger of the italian dictator benito mussolini assassination or lynching had passed ( many thousands of fascists were murdered in italy in the summer and autumn of 1945 ) , and returned the italian dictator benito mussolini to the procida prison in italy .",Benito Mussolini,C,,,,,
islam,islam,islamism,https://en.wikipedia.org/wiki?curid=5955768,the book provides a full account of the rise of osama bin laden and discusses islamism .,Osama bin Laden,P,,,,,
vaccination,vaccination,vaccination,https://en.wikipedia.org/wiki?curid=32772,"vaccinations against other viral diseases followed , including the successful rabies vaccination by louis pasteur in 1886 .",Louis Pasteur,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=1964917,"the men - ibn ishaq numbers between 400 and 900 - were bound and placed under the custody of one muhammad ibn maslamah , who had killed ka ' b ibn al-ashraf , while the women and children - numbering about 1,000 - were placed under abdullah ibn sallam , a former rabbi who had converted to islam .",Muhammad,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=30635,"maulana fazal-ur-rehman , leader of the pakistani islamic ( deobandi ) political party jamiat ulema-e islam ( f ) ( jui ) , was an ally of benazir bhutto , pakistani prime minister in 1993 – 1996 , and then had access to the pakistani government , army and the isi , whom he influenced to help the taliban .",Benazir Bhutto,P,,,,,
islam,islam,islam,https://en.wikipedia.org/wiki?curid=6574207,"but one group , the hezb-e islam led by gulbuddin hekmatyar , presumably supported and directed by pakistan 's inter-services intelligence ( isi ) , did not join the negotiations and announced to conquer kabul alone .",Gulbuddin Hekmatyar,P,,,,,
mormonism,mormonism,mormonism,https://en.wikipedia.org/wiki?curid=10972940,"a question is raised regarding whether the movements which the video classifies as “ christianity ” and “ mormonism ” are compatible , despite the claim by both that “ the name jesus christ/joseph smith in its dvd form is the name jesus christ/joseph smith in its dvd form  . ”",Joseph Smith,P,,,,,
european union,european union,european union,https://en.wikipedia.org/wiki?curid=38723257,"in the european union , european council president herman van rompuy and european commission president josé manuel barroso said that european council president herman van rompuy and european commission president josé manuel barroso had received the news of chávez 's death with sadness .",Herman Van Rompuy,P,,,,,
judaism,judaism,judaism,https://en.wikipedia.org/wiki?curid=18486198,"edward bloch and rabbi isaac mayer wise , who became known as the father of reform judaism in the united states bloch publishing company began to publish the paper with the issue of july 27 , 1855 .",Isaac Mayer Wise,P,,,,,
racism,racism,racism,https://en.wikipedia.org/wiki?curid=60791580,white fragility : why it ’s so hard for white people to talk about racism is a 2018 non-fiction book written by robin diangelo .,Robin DiAngelo,C,,,,,
socialism,communism,communism,https://en.wikipedia.org/wiki?curid=6085873,marxist – leninist ideology is invoked in the desire to reform as seen in imre nagy 's reform communism ( 1955 – 1956 ) .,Imre Nagy,P,,,,,
